NU_ANO_CENSO,CO_ENTIDADE,NO_ENTIDADE,CO_ORGAO_REGIONAL,TP_SITUACAO_FUNCIONAMENTO,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_CATEGORIA_ESCOLA_PRIVADA,IN_CONVENIADA_PP,TP_CONVENIO_PODER_PUBLICO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,CO_ESCOLA_SEDE_VINCULADA,CO_IES_OFERTANTE,TP_REGULAMENTACAO,IN_LOCAL_FUNC_PREDIO_ESCOLAR,TP_OCUPACAO_PREDIO_ESCOLAR,IN_LOCAL_FUNC_SALAS_EMPRESA,IN_LOCAL_FUNC_SOCIOEDUCATIVO,IN_LOCAL_FUNC_UNID_PRISIONAL,IN_LOCAL_FUNC_PRISIONAL_SOCIO,IN_LOCAL_FUNC_TEMPLO_IGREJA,IN_LOCAL_FUNC_CASA_PROFESSOR,IN_LOCAL_FUNC_GALPAO,TP_OCUPACAO_GALPAO,IN_LOCAL_FUNC_SALAS_OUTRA_ESC,IN_LOCAL_FUNC_OUTROS,IN_PREDIO_COMPARTILHADO,IN_AGUA_FILTRADA,IN_AGUA_REDE_PUBLICA,IN_AGUA_POCO_ARTESIANO,IN_AGUA_CACIMBA,IN_AGUA_FONTE_RIO,IN_AGUA_INEXISTENTE,IN_ENERGIA_REDE_PUBLICA,IN_ENERGIA_GERADOR,IN_ENERGIA_OUTROS,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_REDE_PUBLICA,IN_ESGOTO_FOSSA,IN_ESGOTO_INEXISTENTE,IN_LIXO_COLETA_PERIODICA,IN_LIXO_QUEIMA,IN_LIXO_JOGA_OUTRA_AREA,IN_LIXO_RECICLA,IN_LIXO_ENTERRA,IN_LIXO_OUTROS,IN_SALA_DIRETORIA,IN_SALA_PROFESSOR,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_SALA_ATENDIMENTO_ESPECIAL,IN_QUADRA_ESPORTES_COBERTA,IN_QUADRA_ESPORTES_DESCOBERTA,IN_QUADRA_ESPORTES,IN_COZINHA,IN_BIBLIOTECA,IN_SALA_LEITURA,IN_BIBLIOTECA_SALA_LEITURA,IN_PARQUE_INFANTIL,IN_BERCARIO,IN_BANHEIRO_FORA_PREDIO,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_EI,IN_BANHEIRO_PNE,IN_DEPENDENCIAS_PNE,IN_SECRETARIA,IN_BANHEIRO_CHUVEIRO,IN_REFEITORIO,IN_DESPENSA,IN_ALMOXARIFADO,IN_AUDITORIO,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_ALOJAM_ALUNO,IN_ALOJAM_PROFESSOR,IN_AREA_VERDE,IN_LAVANDERIA,IN_DEPENDENCIAS_OUTRAS,NU_SALAS_EXISTENTES,NU_SALAS_UTILIZADAS,IN_EQUIP_TV,IN_EQUIP_VIDEOCASSETE,IN_EQUIP_DVD,IN_EQUIP_PARABOLICA,IN_EQUIP_COPIADORA,IN_EQUIP_RETROPROJETOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_IMPRESSORA_MULT,IN_EQUIP_SOM,IN_EQUIP_MULTIMIDIA,IN_EQUIP_FAX,IN_EQUIP_FOTO,IN_COMPUTADOR,NU_EQUIP_TV,NU_EQUIP_VIDEOCASSETE,NU_EQUIP_DVD,NU_EQUIP_PARABOLICA,NU_EQUIP_COPIADORA,NU_EQUIP_RETROPROJETOR,NU_EQUIP_IMPRESSORA,NU_EQUIP_IMPRESSORA_MULT,NU_EQUIP_SOM,NU_EQUIP_MULTIMIDIA,NU_EQUIP_FAX,NU_EQUIP_FOTO,NU_COMPUTADOR,NU_COMP_ADMINISTRATIVO,NU_COMP_ALUNO,IN_INTERNET,IN_BANDA_LARGA,NU_FUNCIONARIOS,IN_ALIMENTACAO,TP_AEE,TP_ATIVIDADE_COMPLEMENTAR,IN_FUNDAMENTAL_CICLOS,TP_LOCALIZACAO_DIFERENCIADA,IN_MATERIAL_ESP_QUILOMBOLA,IN_MATERIAL_ESP_INDIGENA,IN_MATERIAL_ESP_NAO_UTILIZA,IN_EDUCACAO_INDIGENA,TP_INDIGENA_LINGUA,CO_LINGUA_INDIGENA,IN_BRASIL_ALFABETIZADO,IN_FINAL_SEMANA,IN_FORMACAO_ALTERNANCIA,IN_MEDIACAO_PRESENCIAL,IN_MEDIACAO_SEMIPRESENCIAL,IN_MEDIACAO_EAD,IN_ESPECIAL_EXCLUSIVA,IN_REGULAR,IN_EJA,IN_PROFISSIONALIZANTE,IN_COMUM_CRECHE,IN_COMUM_PRE,IN_COMUM_FUND_AI,IN_COMUM_FUND_AF,IN_COMUM_MEDIO_MEDIO,IN_COMUM_MEDIO_INTEGRADO,IN_COMUM_MEDIO_NORMAL,IN_ESP_EXCLUSIVA_CRECHE,IN_ESP_EXCLUSIVA_PRE,IN_ESP_EXCLUSIVA_FUND_AI,IN_ESP_EXCLUSIVA_FUND_AF,IN_ESP_EXCLUSIVA_MEDIO_MEDIO,IN_ESP_EXCLUSIVA_MEDIO_INTEGR,IN_ESP_EXCLUSIVA_MEDIO_NORMAL,IN_COMUM_EJA_FUND,IN_COMUM_EJA_MEDIO,IN_COMUM_EJA_PROF,IN_ESP_EXCLUSIVA_EJA_FUND,IN_ESP_EXCLUSIVA_EJA_MEDIO,IN_ESP_EXCLUSIVA_EJA_PROF,IN_COMUM_PROF,IN_ESP_EXCLUSIVA_PROF
2017,50032062,CENTRO DE EDUCACAO INFANTIL GERALDO ANTONIO LOPES,,1,06/02/2017,11/12/2017,5,5004,50010,50,5001243,500124305,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,10,10,1,0,1,0,1,1,1,0,1,0,0,0,1,11,0,9,0,1,1,3,0,10,0,0,0,4,4,0,1,1,62,1,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,11016094,IEE MARECHAL RONDON,00007,1,06/02/2017,29/12/2017,1,1102,11004,11,1100122,110012205,2,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,26,26,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,4,1,1,1,39,10,29,1,1,81,1,1,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21079196,ESCOLA MUNICIPAL BARRO BRANCO,00004,1,21/02/2017,29/12/2017,2,2102,21008,21,2100477,210047705,3,2,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,,,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,51062879,ESCOLA MUNICIPAL PROFESSORA MARIA LUIZA DE ARAUJO GOMES,51021,1,13/02/2017,21/12/2017,5,5104,51017,51,5103007,510300705,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,9,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,2,1,0,0,2,1,1,1,1,16,1,1,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,31051659,EM JOSE LEOCADIO DOS SANTOS,00039,1,06/02/2017,15/12/2017,3,3108,31036,31,3158201,315820105,3,2,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,50020854,EE ANGELINA JAIME TEBET,,1,06/02/2017,13/12/2017,5,5004,50011,50,5004700,500470005,2,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,13,12,1,0,1,1,0,1,1,1,1,1,0,1,1,2,0,1,1,0,1,2,3,1,6,0,1,40,5,35,1,1,88,1,1,1,0,0,0,0,1,0,,,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,43023428,CE LANDELL DE MOURA,00016,1,20/02/2017,13/12/2017,4,4302,43016,43,4302105,430210505,2,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,14,12,1,0,1,1,1,1,1,1,1,1,1,1,1,3,0,4,1,3,1,5,1,3,16,1,2,52,6,33,1,1,40,1,1,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21033331,UEC ANTONIA ROSA,00018,1,06/03/2017,20/12/2017,2,2101,21004,21,2112506,211250605,3,2,,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,26049473,ESCOLA GAMALIEL CARVALHO VAZ,00011,1,02/02/2017,29/12/2017,2,2603,26007,26,2616001,261600105,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,1,1,1,0,0,1,2,0,2,0,0,0,0,2,2,1,0,0,1,1,0,0,0,25,1,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,31311022,EM CENIRA JUVENTINA MARTINS,00041,1,06/02/2017,20/12/2017,3,3107,31030,31,3154606,315460605,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,8,7,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,2,0,2,1,3,2,4,0,2,1,5,3,0,1,0,45,1,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21026637,UNIDADE ESCOLAR MANOEL SILVA CANTANHEDE,00003,1,06/03/2017,29/01/2018,2,2101,21003,21,2109601,210960105,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,4,1,0,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,3,1,0,4,1,1,0,1,1,25,1,0,1,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,31077291,EM POV DOS ANDRADAS,00011,1,06/02/2017,15/12/2017,3,3112,31061,31,3123528,312352805,3,2,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,29301408,ESCOLA MUNICIPAL DR NELSON DOLIVEIRA,00005,1,06/02/2017,20/12/2017,2,2907,29031,29,2913606,291360605,3,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,8,8,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,3,2,0,1,12,4,8,1,1,26,1,0,0,1,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21093350,CENTRO DE ENSINO CAMINHO DO FUTURO,00006,1,01/02/2017,29/12/2017,2,2102,21009,21,2105302,210530205,2,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,10,8,1,0,1,0,0,0,1,0,1,1,0,1,1,10,0,3,0,0,0,6,0,1,4,0,1,20,2,1,0,0,77,1,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,43010245,EMEF ALBERTO PASQUALINI,00024,1,20/02/2017,15/12/2017,4,4303,43019,43,4300109,430010905,3,2,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,6,6,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,2,3,4,2,0,2,6,4,2,1,1,24,1,1,1,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,29466385,EDUCANDARIO ESTRELA DO AMANHA,00026,1,06/02/2016,15/12/2017,2,2905,29021,29,2927408,292740805,4,1,1,0,,1,0,0,0,0,,,2,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,0,1,0,0,1,1,1,0,1,1,2,1,2,0,1,0,0,2,1,1,0,1,2,1,0,1,1,9,0,0,0,1,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,35004348,ESCOLA DA INFANCIA MONTESSORI,20413,1,01/02/2017,15/12/2017,3,3507,35030,35,3553302,355330205,4,1,1,0,,1,0,0,0,0,,,1,1,2,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,4,4,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,1,1,1,0,1,1,9,0,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,42016258,CENTRO EDUCACIONAL DO VALE LTDA,00015,1,13/02/2017,29/12/2017,4,4204,42012,42,4202404,420240405,4,1,1,0,,1,1,1,0,1,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1,1,10,0,0,0,,0,0,0,1,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
